archivo,antes_bytes,despues_bytes
counts/v1a/categories/sector/province_key=22/data_0.parquet,2345693,0
counts/v1a/categories/sector/province_key=23/data_0.parquet,5587106,0
counts/v1a/categories/sector/province_key=24/data_0.parquet,4126018,0
counts/v1a/categories/sector_only/ethnicity.parquet,500950,0
counts/v1a/finest/01.parquet,0,270247
counts/v1a/finest/02.parquet,0,86057
counts/v1a/finest/03.parquet,0,112435
counts/v1a/finest/04.parquet,0,82213
counts/v1a/finest/05.parquet,0,157383
counts/v1a/finest/06.parquet,0,191361
counts/v1a/finest/07.parquet,0,308897
counts/v1a/finest/08.parquet,0,210941
counts/v1a/finest/09.parquet,0,1321956
counts/v1a/finest/10.parquet,0,184561
counts/v1a/finest/11.parquet,0,206408
counts/v1a/finest/12.parquet,0,301693
counts/v1a/finest/13.parquet,0,604948
counts/v1a/finest/14.parquet,0,101678
counts/v1a/finest/15.parquet,0,66417
counts/v1a/finest/16.parquet,0,57994
counts/v1a/finest/17.parquet,0,813239
counts/v1a/finest/18.parquet,0,191979
counts/v1a/finest/19.parquet,0,72086
counts/v1a/finest/20.parquet,0,32644
counts/v1a/finest/21.parquet,0,96817
counts/v1a/finest/22.parquet,0,93379
counts/v1a/finest/23.parquet,0,193330
counts/v1a/finest/24.parquet,0,226332
counts/v1a/finest/province_key=01/data_0.parquet,279340,0
counts/v1a/finest/province_key=02/data_0.parquet,92951,0
counts/v1a/finest/province_key=03/data_0.parquet,119957,0
counts/v1a/finest/province_key=04/data_0.parquet,91024,0
counts/v1a/finest/province_key=05/data_0.parquet,165126,0
counts/v1a/finest/province_key=06/data_0.parquet,197575,0
counts/v1a/finest/province_key=07/data_0.parquet,335059,0
counts/v1a/finest/province_key=08/data_0.parquet,226356,0
counts/v1a/finest/province_key=09/data_0.parquet,1459283,0
counts/v1a/finest/province_key=10/data_0.parquet,194422,0
counts/v1a/finest/province_key=11/data_0.parquet,214320,0
counts/v1a/finest/province_key=12/data_0.parquet,322422,0
counts/v1a/finest/province_key=13/data_0.parquet,650410,0
counts/v1a/finest/province_key=14/data_0.parquet,106056,0
counts/v1a/finest/province_key=15/data_0.parquet,69117,0
counts/v1a/finest/province_key=16/data_0.parquet,61080,0
counts/v1a/finest/province_key=17/data_0.parquet,889784,0
counts/v1a/finest/province_key=18/data_0.parquet,201620,0
counts/v1a/finest/province_key=19/data_0.parquet,76585,0
counts/v1a/finest/province_key=20/data_0.parquet,34766,0
counts/v1a/finest/province_key=21/data_0.parquet,105321,0
counts/v1a/finest/province_key=22/data_0.parquet,103530,0
