clave_manzana,clave_sector,poblacion
090950001001045,090950001001,17
090950001001046,090950001001,31
090950001001047,090950001001,17
090950001001048,090950001001,38
090950001001049,090950001001,37
090950001001050,090950001001,17
090950001001051,090950001001,9
090950001001052,090950001001,13
090950001001053,090950001001,6
090950001001054,090950001001,12
090950001001055,090950001001,0
090950001001056,090950001001,10
090950001001058,090950001001,18
090950006002019,090950006002,16
091050005001012,091050005001,68
091050005001013,091050005001,6
091050018013001,091050018013,51
091050018013002,091050018013,37
091050018013003,091050018013,15
091050018013005,091050018013,24
091050018013006,091050018013,11
091050018013007,091050018013,15
091050018013008,091050018013,35
091050018013009,091050018013,15
091050018013010,091050018013,1
091050018013011,091050018013,60
091050018013012,091050018013,21
091050018013013,091050018013,13
091050018013014,091050018013,45
091050018013015,091050018013,28
091050018013016,091050018013,19
091050018013017,091050018013,2
091050018013018,091050018013,5
091050018013019,091050018013,7
091050021007005,091050021007,0
091050021007006,091050021007,0
091050021007007,091050021007,0
091050021007008,091050021007,0
091050021007010,091050021007,0
091050021007011,091050021007,0
091050042010001,091050042010,19
091050042010002,091050042010,34
091050042010003,091050042010,21
091050042010004,091050042010,25
091050042010005,091050042010,22
091050042010006,091050042010,26
091050042010007,091050042010,39
091050042010008,091050042010,57
091050042010009,091050042010,162
091050042011001,091050042011,127
091050042011002,091050042011,11
091050042011003,091050042011,37
091050042011004,091050042011,40
091050042011005,091050042011,72
091050042011006,091050042011,47
091050043012001,091050043012,43
091050043012002,091050043012,10
091050043012003,091050043012,21
091050043012004,091050043012,66
091050043012005,091050043012,29
091050043012006,091050043012,36
091050043012007,091050043012,32
091050043012008,091050043012,23
091050043012009,091050043012,44
091050043012010,091050043012,19
091150007012019,091150007012,0
091150007012020,091150007012,4
091150007012021,091150007012,16
091150007012023,091150007012,8
091250008011002,091250008011,0
091250008011005,091250008011,0
091250008011006,091250008011,0
091250008011007,091250008011,0
091250008011010,091250008011,0
091250008011011,091250008011,0
091250008011012,091250008011,0
091250008011013,091250008011,0
091250008011014,091250008011,0
091250008011015,091250008011,0
091250008011016,091250008011,0
091250008011017,091250008011,0
091250008011019,091250008011,0
091250008011021,091250008011,0
091250008011023,091250008011,0
091250008011024,091250008011,0
091250008011025,091250008011,0
091250008011026,091250008011,0
091250008012002,091250008012,0
091250008012003,091250008012,0
091250008012005,091250008012,0
091250008012006,091250008012,0
091250008012010,091250008012,0
091250008012011,091250008012,0
091250008012012,091250008012,0
091250008012013,091250008012,0
091250008012015,091250008012,0
091250008012016,091250008012,0
091250008012019,091250008012,0
091250008012020,091250008012,0
091250008012023,091250008012,0
091250008012024,091250008012,0
091250008012025,091250008012,0
091250917001019,091250917001,0
091450003004014,091450003004,55
091450003004015,091450003004,26
091450006010001,091450006010,24
091450006010002,091450006010,28
091450006010003,091450006010,44
091450006010004,091450006010,36
091450006010005,091450006010,29
091450006010006,091450006010,35
091450006010007,091450006010,26
091450006010008,091450006010,18
091450006010009,091450006010,37
091450006010010,091450006010,31
091450006010011,091450006010,18
091450006010013,091450006010,206
091650003008010,091650003008,8
091650003008011,091650003008,0
091650003008012,091650003008,0
091650003008013,091650003008,0
091650003008014,091650003008,33
091650003008015,091650003008,0
091650003008016,091650003008,5
091650003008019,091650003008,0
092150002002053,092150002002,4
092150002002056,092150002002,0
092150002002057,092150002002,0
092150002002058,092150002002,0
092150002002060,092150002002,0
092150002002061,092150002002,1
092150002002062,092150002002,1
092150002002063,092150002002,1
092150002002064,092150002002,0
092150002002065,092150002002,0
092150002002066,092150002002,0
092150002002067,092150002002,10
092150002007033,092150002007,15
092150002007034,092150002007,0
092150002007036,092150002007,6
092150002007037,092150002007,2
092150002007038,092150002007,18
092150002007039,092150002007,1
092150002007040,092150002007,8
092150002007041,092150002007,20
092150002007042,092150002007,3
092150002007043,092150002007,0
092150002007044,092150002007,1
092150002007045,092150002007,1
092150002007046,092150002007,0
092150002007047,092150002007,8
092150002007048,092150002007,0
092150002007049,092150002007,2
092150002007050,092150002007,1
092150002007051,092150002007,0
092150002007052,092150002007,0
092150002007053,092150002007,8
092150010011001,092150010011,81
092150010011002,092150010011,129
092150010011003,092150010011,2
092150010011004,092150010011,3
092150010011005,092150010011,96
092150010012001,092150010012,54
092150010012002,092150010012,0
092150010012003,092150010012,25
092150010012004,092150010012,22
092150010012005,092150010012,34
092150010012006,092150010012,6
092150010012007,092150010012,41
092150010012008,092150010012,19
092150010012009,092150010012,25
092150010012010,092150010012,18
092150010012011,092150010012,0
092150010012012,092150010012,0
092150014004018,092150014004,2
092150015002020,092150015002,4
092150015002021,092150015002,14
092150015002022,092150015002,0
092150015002023,092150015002,0
092150015003016,092150015003,8
092150015003017,092150015003,0
092150908001027,092150908001,0
092150908001030,092150908001,0
092150908001031,092150908001,0
092150908001032,092150908001,0
092150908001035,092150908001,0
092850001005017,092850001005,89
100150027006004,100150027006,53
100150037003003,100150037003,11
100150041003006,100150041003,12
100154001005002,100154001005,142
100154001006012,100154001006,7
100154001006013,100154001006,0
100157004007011,100157004007,21
100250001001010,100250001001,5
100252001003012,100252001003,7
100252001003013,100252001003,26
100252001003014,100252001003,7
100254001011009,100254001011,0
100352902009013,100352902009,36
100352902009014,100352902009,15
100352902013016,100352902013,29
100352902013017,100352902013,10
100352902013018,100352902013,44
100452001005022,100452001005,38
110150009006007,110150009006,4
110150011007004,110150011007,30
110150013004010,110150013004,32
110150019005007,110150019005,130
110150020014001,110150020014,82
110150020014002,110150020014,84
110150020014003,110150020014,253
110150026002009,110150026002,22
110150027013002,110150027013,56
110150027013003,110150027013,41
110150027013004,110150027013,25
110150027013005,110150027013,43
110150027013006,110150027013,7
110150027013007,110150027013,51
110150027013008,110150027013,27
110150027013009,110150027013,20
110150027013010,110150027013,31
110150027013011,110150027013,40
110150027013012,110150027013,15
110150027013014,110150027013,11
110150028008012,110150028008,12
110150028010018,110150028010,9
110150028011011,110150028011,14
110150036007006,110150036007,13
110150055006007,110150055006,58
110150055006008,110150055006,21
110250001008025,110250001008,18
110350001003050,110350001003,29
110350007006019,110350007006,24
110350007006020,110350007006,8
110350007006021,110350007006,9
110850003007012,110850003007,25
110850004003010,110850004003,20
110850004003011,110850004003,31
110850004007026,110850004007,3
110850004007027,110850004007,14
110850004007029,110850004007,16
110850004007030,110850004007,14
110950003006024,110950003006,17
